"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"180" 1.96135591610194e-214 0.965338908089638 0.601 0.053 2.43620018339022e-210 11 "HSPA2"
"181" 6.97815061078788e-213 -2.73939282284914 0.139 0.801 8.66756087365963e-209 11 "CLEC4E"
"182" 7.14845515757037e-212 -3.18519338368962 0.103 0.744 8.87909615121816e-208 11 "IL1R2"
"183" 1.13349553068568e-211 0.917780591293253 0.633 0.065 1.40791479866468e-207 11 "DCTPP1"
"184" 5.84747772163281e-211 -1.78908838962845 1 0.992 7.26315207804012e-207 11 "TMSB4X"
"185" 2.66009516739347e-210 -2.59072062957508 0.133 0.764 3.30410420741942e-206 11 "C3"
"186" 1.76646158806283e-209 0.825855008131909 0.629 0.077 2.19412193853284e-205 11 "PLA2G16"
"187" 3.02778486275882e-209 0.798653747723898 0.264 0 3.76081157803273e-205 11 "APELA"
"188" 5.41012363377847e-209 -1.94604847318262 0.305 0.821 6.71991456551623e-205 11 "CAPG"
"189" 2.10147916381851e-207 -2.31297082895672 0.101 0.755 2.61024726937897e-203 11 "PADI4"
"190" 7.19105104265466e-207 1.34816119065531 0.983 0.788 8.93200450008136e-203 11 "RPS16"
"191" 1.18939672440213e-206 -1.10405809334381 0.925 0.932 1.47734967137988e-202 11 "RAC2"
"192" 6.21731814408608e-206 1.23570576854267 0.944 0.296 7.72253086676932e-202 11 "CST6"
"193" 1.75497658094809e-205 1.01544785783588 0.727 0.11 2.17985641119562e-201 11 "AIG1"
"194" 5.9213431325e-204 1.15746872093201 0.627 0.074 7.35490030487825e-200 11 "MGST2"
"195" 6.47573163328374e-203 1.26811530809027 0.884 0.309 8.04350626170173e-199 11 "C14ORF166"
"196" 2.33520556791303e-201 1.00920881391598 0.584 0.054 2.90055883590477e-197 11 "TSPAN13"
"197" 2.541169218309e-201 1.39974442152344 0.944 0.513 3.15638628606161e-197 11 "PPP1R14B"
"198" 6.06917201658699e-201 0.896613615073223 0.545 0.043 7.5385185618027e-197 11 "DDAH2"
"199" 6.27238444983705e-201 1.11190130041626 1 0.993 7.7909287251426e-197 11 "RPLP1"
"200" 8.65876754397481e-200 -2.20331718703372 0.311 0.756 1.07550551663711e-195 11 "NCF1"
"201" 4.6745513699232e-199 1.01426022030747 0.951 0.289 5.80626025658161e-195 11 "PRDX1"
"202" 9.67509646963442e-199 0.748593926950962 0.543 0.045 1.20174373249329e-194 11 "CXXC5"
"203" 1.24226760059555e-196 0.9516020452843 0.609 0.066 1.54302058669973e-192 11 "AKR1B1"
"204" 1.15038621799059e-195 1.03163249503268 0.661 0.088 1.42889472136612e-191 11 "EXOSC5"
"205" 2.17296166305248e-195 1.37706905757146 0.946 0.405 2.69903568167749e-191 11 "ERH"
"206" 1.34058187990533e-194 0.88715679461755 0.573 0.059 1.66513675303041e-190 11 "MSI2"
"207" 2.87452579710873e-193 1.1912410759224 0.828 0.212 3.57044849258876e-189 11 "ATP5D"
"208" 3.26217891160221e-192 0.71945469300499 0.262 0.001 4.05195242610111e-188 11 "FST"
"209" 7.44604783230745e-192 0.72946338314031 0.455 0.026 9.24873601250909e-188 11 "TOX"
"210" 8.07255132060684e-192 0.860405556749909 0.577 0.057 1.00269159953258e-187 11 "TMEM52"
"211" 3.28330325004813e-190 -1.7226037523135 0.513 0.815 4.07819096688479e-186 11 "ABTB1"
"212" 3.71165193190468e-190 0.707650414292627 0.427 0.02 4.6102428646188e-186 11 "AHSG"
"213" 1.27297246310003e-189 1.04579502809354 0.575 0.058 1.58115909641655e-185 11 "HSPA1A"
"214" 4.13909183201924e-189 1.09706811880907 0.7 0.111 5.14116596455109e-185 11 "NOP56"
"215" 9.34610003586587e-189 0.906158097238192 0.648 0.087 1.1608790854549e-184 11 "ARL2"
"216" 1.49789902949994e-188 1.14233861383153 0.695 0.12 1.86054038454188e-184 11 "CCDC25"
"217" 2.50693057075306e-187 0.890830795630482 0.605 0.071 3.11385846193237e-183 11 "MRPL52"
"218" 1.55495389416287e-185 1.27798628244458 0.921 0.499 1.9314082319397e-181 11 "SLC25A3"
"219" 1.66045710911115e-185 0.798455260855167 0.59 0.086 2.06245377522696e-181 11 "GYPC"
"220" 1.24584203281331e-184 -1.0645434938428 0.998 0.963 1.54746038895741e-180 11 "S100A11"
"221" 2.61036068133587e-184 1.27763078383947 0.961 0.596 3.24232900228729e-180 11 "ATP5B"
"222" 7.27951285188836e-184 0.733707641005544 0.391 0.015 9.04188291333053e-180 11 "NDRG2"
"223" 9.84648759162327e-183 -2.34033421627718 0.152 0.756 1.22303222375553e-178 11 "LBP"
"224" 1.21149494257867e-182 0.998688544983228 0.693 0.116 1.50479786817697e-178 11 "MRPS35"
"225" 2.35182861862504e-182 1.37641980974358 0.936 0.459 2.92120632719416e-178 11 "RAN"
"226" 3.08447753961192e-182 1.32269648806917 0.916 0.427 3.83122955195196e-178 11 "RACK1"
"227" 3.23557171905531e-181 1.26578677079944 0.865 0.286 4.0189036322386e-177 11 "SERBP1"
"228" 5.54536433915741e-181 0.839351169279102 0.313 0.005 6.88789704566742e-177 11 "APOL3"
"229" 8.34414848563187e-180 -1.23001205974697 0.822 0.877 1.03642668340034e-175 11 "OCIAD2"
"230" 1.30368132076466e-178 1.08306452894683 0.803 0.186 1.61930256852178e-174 11 "GADD45GIP1"
"231" 1.62881017017042e-178 0.923080282748569 0.545 0.054 2.02314511236868e-174 11 "BCL11A"
"232" 3.21739489266649e-177 1.05815781220835 0.766 0.163 3.99632619618105e-173 11 "RSL1D1"
"233" 2.72512171849273e-176 0.977569025958579 0.594 0.075 3.38487368653982e-172 11 "HSD17B1"
"234" 5.90727261698357e-176 1.19952046987095 0.903 0.285 7.33742331755529e-172 11 "ANP32B"
"235" 1.33166391481455e-175 1.03460323314547 0.691 0.126 1.65405974859115e-171 11 "BANF1"
"236" 3.80803030167346e-175 1.21605524981982 0.869 0.317 4.72995443770861e-171 11 "NDUFA11"
"237" 1.68337223217055e-174 1.12941625554305 0.697 0.134 2.09091664957903e-170 11 "HSPD1"
